Inspection_ID,DBA_Name,AKA_Name,License ,Facility Type,Risk,Address,City,State,Zip,Inspection_Date,Inspection_Type,Results,Violations,x,y,Location
1285409,SEXTON,A.O. SEXTON ELEMENTARY,25321,School,Risk 1 (High),6020 S Langley (700E) ,CHICAGO,IL,60637,9/21/12,Canvass,Fail,"41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: MUST REMOVE EXCESSIVE CLUTTER,CONSTRUCTION DEBRIS AND UNUSED EQUIPMENT FROM THE BOILER ROOM.  MUST REMOVE ALL UNNECESSARY ITEMS AND BETTER ORGANIZE REMAINING ITEMS.  MUST STORE ALL ITEMS 6 INCHES OFF THE FLOOR.   MUST ALSO REMOVE CLUTTER FROM THE INTERIOR OF ALL THE MOP SINK CLOSETS AND BETTER ORGANIZE.   | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST DEATAIL CLEAN FLOORS IN THE BOILER ROOM AND REMOVE POOLING WATER.  | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: NOTED DEAD ROACHES ON INTERIOR OF CABINET IN PRE K CLASSROOM. MUST REMOVE INSECTS AND SANITIZE CABINET.  MUST ALSO DETAIL CLEAN WINDOW SILLS IN THE PRE K CLASSROOM. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST SEAL HOLE IN THE WALL IN STUDENT DINING AREA ABOVE THE HEATER.   | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: NOTED EVIDENCE OF RODENTS ON SITE.  NOTED APPROXIMATELY 35-40 DROPPINGS SCATTERED THROUGHOUT PREMISES. NOTED DROPPINGS IN DRY STORAGE AREA UNDER SHELVING RACKS,IN CORNERS AND ON TOP OF BOXES OF SPRING WATER.  ALSO NOTED DROPPINGS IN 1ST FLOOR TEACHERS LOUNGE BEHIND JUICE VENDING MACHINE AND ALONG WALLS,IN THE PRE K CLASSROOM NEAR STORAGE CLOSET,UNDER STEAM TABLE IN KITCHEN,IN STUDENT DINING AREA BEHIND REACH IN COOLER AND ALONG WALLS BEHIND THE SODA VENDING MACHINE.  ALSO NOTED DROPPINGS IN THE MDF ROOM ON THE 2ND FLOOR OF THE NEW BUILDING IN THE CORNER ON STORAGE SHELF.  MUST REMOVE DROPPINGS,SANITIZE AFFECTED AREAS AND HAVE THE PEST CONTROL COMPANY SERVICE AREAS.  SERIOUS CITATION ISSUED 7-38-020 | 26. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, PROPERLY DESIGNED AND INSTALLED - Comments: HAND WASHING FACILITIES IN POOR REPAIR.  NO RUNNING WATER AT HAND SINKS IN 3RD FLOOR BOYS WASHROOM,AT THE 1ST HAND SINK IN THE 3RD FLOOR GIRLS WASHROOM,AT THE 1ST HAND SINK IN THE BOYS 2ND FL WASHROOM (IN THE NEW BUILDING) AND AT THE 2ND HAND SINK IN THE 3RD FLOOR BOYS WASHROOM (NEW BUILDING).  MUST REPAIR ALL SINKS AND PROVIDE HOT AND COLD WATER.  SERIOUS CITATION ISSUED 7-38-030",41.78517099,-87.60866927,"(41.78517098599124, -87.60866926592186)"
657323,SEXTON,A.O. SEXTON ELEMENTARY,25321,School,Risk 1 (High),6020 S Langley (700E) ,CHICAGO,IL,60637,11/1/11,Canvass,Fail,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: FOUND 50 MOUSE DROPPINGS IN THE FOLLOWING AREAS: SCATTERED ALONG WALL BASE BEHIND GREASE TRAP, LUNCH ROOM UNDER RACK, UNDER AROUND REFRIGERATORS IN KITCHEN, KITCHEN STAFF LOCKER ROOMS, INSIDE COOLER AT COMPRESSOR IN KITCHEN, PRE K ROOM AROUND WALL BASE, SHELVES INSIDE STORAGE ROOM IN PRE K. INSTRUCTED TO CLEAN, SANITIZE AFFECTED AREAS, AND RECOMMEND PEST CONTROL TO SERVICE PREMISES. ALSO, NO CURRENT PEST CONTROL LOG BOOK ON SITE FOR INSPECTOR REVIEW. INSTRUCTED TO PROVIDE CURRENT PEST CONTROL LOG BOOK ON SITE AT ALL TIMES WITH ALL REQUIRED DOCUMENTATION. FOUND REAR SCREEN DOOR WITH 1/2 INCH GAP ON BOTTOM AND 1/4TH INCH GAP AT TOP OF SAID DOOR. ALSO, 1/4TH INCH GAP AT BOTTOM RIGHT CORNERS OF SIDE DOOR IN LUNCHROOM AND SIDE ESTRANCE/EXIT DOORS. INSTRUCTED TO MAKE TIGHT FITTING SO AS NO DAYLIGHT CAN BE SEEN. INSTRUCTED TO RODENT PROOF SAID DOORS TO PREVENT PEST ENTRY. SERIOUS 7-38-020 ISSUED. | 19. OUTSIDE GARBAGE WASTE GREASE AND STORAGE AREA; CLEAN, RODENT PROOF, ALL CONTAINERS COVERED - Comments: The area outside of the establishment used for the storage of garbage shall be clean at all times and shall not constitute a nuisance. 
 
FOUND GARBAGE DUMPSTERS WITH OVERFLOWING GARBAGE, LIDS WIDE OPEN, UNABLE TO CLOSE DUE TO EXCESSIVE GARBAGE, INSTRUCTED TO REMOVE GARBAGE, KEEP LIDS CLOSED, AND RECOMMEND ADDITIONAL GARBAGE PICKUP TO ACCOMODATE FLOW OF GARBAGE FROM SCHOOL OPERATIONS. SERIOUS 7-38-020 ISSUED. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN FAN GUARDS INSIDE REFRIGERATOR IN KITCHEN AND INSIDE WASHBOWL IN PRE K ROOM. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: The floors shall be constructed per code, be smooth and easily cleaned, and be kept clean and in good repair. 
 
REPAIR CRACKED FLOOR TILE SECTIONS AT SIDE EXIT DOOR TO MAKE SMOOTH AND EASILY CLEANABLE. CLEAN FLOORS IN KITCHEN, LUNCHROOM, AND INSIDE UTILITY SINK CLOSET IN 1ST. FLOOR. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: The walls and ceilings shall be in good repair and easily cleaned. 
 
REMOVE STAINS FROM CEILING IN KITCHEN ABOVE REFRIGERATORS AND VENTILATION HOOD. CLEAN WINDOW LEDGES IN LUNCHROOM. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: REPLACE LIGHT BULB INSIDE REFRIGERATOR IN KITCHEN. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: DEFROST DAIRY COOLER IN KITCHEN TO REMOVE ICE BUILDUP AND REPAIR SCREEN AT SIDE SCREEN DOOR IN KITCHEN.  | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: REPAIR LEAK AT HOT WATER HANDLE AT RINSE SINK IN KITCHEN BY DISH MACHINE. CLEAN DRAIN AT UTILITY SINK IN 1ST. FLOOR CLOSET. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: ORGANIZE CLUTTERED UTILITY SINK CLOSETS, LUNCHROOM, PRE K ROOM, AND STORAGE ROOM 124, REMOVE UNUSED ITEMS TO PREVENT PEST HARBORAGE.",41.78517099,-87.60866927,"(41.78517098599124, -87.60866926592186)"
233256,Lincoln,ABRAHAM LINCOLN ELEMENTARY,24191,School,Risk 2 (Medium),615 W Kemper (2332N) ,CHICAGO,IL,60614,4/23/10,Canvass,Fail,"29. PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090 - Comments: A separate and distinct offense shall be deemed to have been committed for each Minor violation that is not corrected upon re-inspection by the health authority.PREVIOUS MINOR VIOLATIONS FROM 5-15-09 #158433 NOT CORRECTED. #32- ALL OPEN WINDOWS IN LUNCH ROOMS AND LUNCH ROOMS MANAGERS OFFICE MUST BE SCREENED.#37- SELF-CLOSING DEVICE MUST BE INSTALLED ON TEACHERS WASHROOM DOOR ADJACENT TO LUNCH ROOM. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: The walls and ceilings shall be in good repair and easily cleaned. WALL ALONG BACK SPLASH OF THREE COMPARTMENT SINK WITH OPEN CRACK/CREVICE, MUST CAULK OR SEAL. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: All food and non-food contact equipment and utensils shall be smooth, easily cleanable, and durable, and shall be in good repair. FLOOR FOOD MIXER PLUGGED IN AND USED TO MAKE MASHED POTATOES MUST BE USED IN THE FOOD PREP AREA, NOT THE DRY STORAGE ROOM. MUST REMOVE/MOVE. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: All rooms in which food or drink is prepared, or in which utensils are washed, shall be lighted so that a minimum of 50-foot candles of light is available on all work surfaces. MUST PROVIDE LIGHT INSIDE LUNCH ROOM TALL, TWO DOOR, REACH IN COOLER.",41.92449696,-87.64452163,"(41.924496958804504, -87.64452162833538)"
1367419,Acad. Of Scholastic Ach,ACAD. OF SCHOLASTIC ACH,69457,School,Risk 3 (Low),4651 W Madison ST ,CHICAGO,IL,60644,11/25/13,Canvass,Fail,"38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: SOME OF THE CEILING VENTS IN THE BOYS AND GIRLS TOILET ROOMS HAVE DUST BUILDUP THEM. MUST CLEAN THEM. 
 | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: NO PEST CONTROL RECIEPT OR LOG BOOK ON SITE FOR THIS WHOLE YEAR. MUST PROVIDE A PEST CONTROL COMPLETE LOG BOOK WITH A RECIEPT,MSDA SHEETS MATERIAL SAFTEY DATA SHEETS,MAP WHERE THE BAIT BOXES ARE PLACED, COPY OF THE PEST CONTROL LICENSE 051-. 
SERIOUS CITATION GIVEN 7-38-020",41.88042013,-87.74250356,"(41.880420127309684, -87.74250355816393)"
547957,Acad. Of Scholastic Ach,ACAD. OF SCHOLASTIC ACH,69457,School,Risk 3 (Low),4651 W Madison ST ,CHICAGO,IL,60644,1/24/12,Canvass,Fail,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: All necessary control measures shall be used to effectively minimize or eliminate the presence of rodents, roaches, and other vermin and insects on the premises of all food establishments, in food-transporting vehicles, and in vending machines.OBSERVED EVIDENCE OF MORE THAN 25 MICE DROPPINGS SCATTERED ON FLOOR IN DRY FOOD STORAGE AREA,HOT WATER TANK AREA,LOWER SHELF OF STEAM TABLE,LOWER CABINET AT MICROWAVE,ALSO APPX.12-15 LIVE ANTS CRAWLING ON COMPUTER DESK IN LUNCH ROOM.ALSO LUNCH ROOM DOOR NOT TIGHT FITTING.MUST REMOVE DROPPINGS,CLEAN & SANITIZE AREAS,RODENT PROOF DOOR.RECOMMENDED TO HAVE A PEST CONTROL OPERATOR TO SERVICE PREMISES ON OR AFTER 1/24/12.(SERIOUS 7-38-020)CITATION ISSUED. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: The walls and ceilings shall be in good repair and easily cleaned.MUST SCRAPE & PAINT PEELING PAINT ON WALLS IN REFRIGERATOR AREA & LUNCHROOM. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: Shielding to protect against broken glass falling into food shall be provided for all artificial lighting sources in preparation, service, and display facilities.MUST REPLACE CRACKED LIGHT SHIELD IN REFRIGERATOR AREA. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: Ventilation: All plumbing fixtures, such as toilets, sinks, washbasins, etc., must be adequately trapped, vented, and re-vented and properly connected to the sewer in accordance with the plumbing chapter of the Municipal Code of Chicago and the Rules and Regulations of the Board of Health.MUST REPAIR OR REPLACE HOT WATER FAUCET IN POOR REPAIR AT HAND SINK IN PREP AREA. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: All parts of the food establishment and all parts of the property used in connection with the operation of the establishment shall be kept neat and clean and should not produce any offensive odors.MUST ELEVATE ARTICLES OFF OF FLOOR IN BOTH MAINTENANCE CLOSETS.",41.88042013,-87.74250356,"(41.880420127309684, -87.74250355816393)"
177150,Acad. Of Scholastic Ach,ACAD. OF SCHOLASTIC ACH,69457,School,Risk 3 (Low),4651 W Madison ST ,CHICAGO,IL,60644,4/19/10,Canvass,Fail,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: All necessary control measures shall be used to effectively minimize or eliminate the presence of rodents, roaches, and other vermin and insects on the premises of all food establishments, in food-transporting vehicles, and in vending machines. 
 
OBSERVED APPROX. 20-25 MICE DROPPING IN STORAGE ROOM BY KITCHEN AREA, INSTRUCTED TO CLEAN AND CLOSE ALL OUTER OPENINGS TO PREVENT RODENT ENTRY  
 
SERIOUS CITATION ISSUED | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: The floors shall be constructed per code, be smooth and easily cleaned, and be kept clean and in good repair. 
 
MUST CLEAN FLOORS UNDER AND BEHIND EQUIPMENT IN STORAGE ROOM",41.88042013,-87.74250356,"(41.880420127309684, -87.74250355816393)"
586181,ACADEMY FOR GLOBAL CITIZENSHIP SATELLITE,ACADEMY GLOBAL CITIZENSHIP SATELLITE,2510097,School,Risk 2 (Medium),4941 W 46TH ST ,CHICAGO,IL,60638,8/5/11,Canvass,Fail,"11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments: TOILET ROOM FAUCETS IN POOR REPAIR. INSTD TO REPAIR SAME. INSTD TO HAVE ADEQUATE SUPPLY OF RUNNING WATER UNDER CITY PRESSURE. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: UNFINISHED WALLS IN TOILET ROOMS AND MISSING CEILING TILES IN VARIOUS AREAS. INSTD TO REPAIR SAME. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: LOW WATER PRESSURE AT UTILITY SINK. REPAIR SAME. ",41.80928261,-87.74727172,"(41.80928260765959, -87.74727172286289)"
60325,Academy of Global Citizenship,ACADEMY OF GLOBAL CITIZENSHIP,1980678,School,Risk 1 (High),4647 W 47th ST ,CHICAGO,IL,60632,2/22/10,Canvass,Fail,"9. WATER SOURCE: SAFE, HOT & COLD UNDER CITY PRESSURE - Comments: All food establishments shall be provided with an adequate supply of hot and cold water under pressure properly connected to the city water supply.OBSERVED NO HOT RUNNING WATER AT HANDSINKS IN FOOD PREP AREA,SERVING LINE,3-COMPARTMENT SINK , HAND SINK IN STAFF TOILET ROOM & MOP SINK AT THIS TIME OF INSPECTION.MUST PROVIDE HOT &COLD RUNNING WATER AT ALL TIMES.FOOD OPERATION HAS BEEN CEASED AT THIS TIME.A ALTERNATIVE FOOD SOURCE HAS BEEN SET INTO PLACE,FOOD WILL BE SENT FROM HEARST 4640 S. LAMON. | 31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments: Containers and utensils shall be inverted, covered, or otherwise protected from contamination until used.  All single-service drinking straws and containers shall be discarded immediately after use. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: The floors shall be constructed per code, be smooth and easily cleaned, and be kept clean and in good repair.FLOOR IN POOR REPAIR IN GIRL'S TOILET ROOM UNDER 1ST HAND SINK & FLOOR DRAIN COVER. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: All food and non-food contact surfaces of equipment and all food storage utensils shall be thoroughly cleaned and sanitized daily.VENTILATION VENTS | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: The walls and ceilings shall be in good repair and easily cleaned.LOOSE WALL BASES NEAR REAR EXIT DOOR,SEAL HOLE IN WALL IN BREAK ROOM. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: All rooms in which food or drink is prepared, or in which utensils are washed, shall be lighted so that a minimum of 50-foot candles of light is available on all work surfaces.BREAK ROOM | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: Ventilation: All plumbing fixtures, such as toilets, sinks, washbasins, etc., must be adequately trapped, vented, and re-vented and properly connected to the sewer in accordance with the plumbing chapter of the Municipal Code of Chicago and the Rules and Regulations of the Board of Health.LEAKY TOILET HANDLE IN BOY'S . | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: All parts of the food establishment and all parts of the property used in connection with the operation of the establishment shall be kept neat and clean and should not produce any offensive odors.ELEVATE & ORGANIZE ARTICLES IN REAR STORAGE AREA.",41.80755107,-87.74009675,"(41.80755106726146, -87.74009675088773)"
555318,ACADEMY OF ST. BENEDICT,ACADEMY OF ST. BENEDICT,5977,School,Risk 1 (High),6020 S LAFLIN ,CHICAGO,IL,60636,11/10/11,Canvass,Fail,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: All necessary control measures shall be used to effectively minimize or eliminate the presence of rodents, roaches, and other vermin and insects on the premises of all food establishments, in food-transporting vehicles, and in vending machines. 
OBSERVED 20-30 MICE DROPPINGS INSIDE CLOSET UNDER SOUTHEAST STAIRWAY, 10-15 MICE DROPPINGS ON PALLETS, EQUIPMENT AND ALONG WALLS IN ENGINEER OFFICE, 8 MICE DROPPINGS INSIDE CLOSETS IN LUNCHROOM, 30-40 MICE DROPPINGS SCATTERED ALONG WALLS AND CORNERS IN LIBRARY STORAGE AREA, 10-15 MICE DROPPINGS SCATTERED ALONG WALLS IN PRE-K LUNCHROOM.  INSTRUCTED MANAGER TO CALL AN EXTERMINATOR FOR SERVICE, CLEAN AND SANITIZE ALL AREAS. SERIOUS VIOLATION 7-38-020 CITATION ISSUED H74620 COURT DATE 12-22-11 AT 10 AM 400 W SUPERIOR ROOM 112. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: All food and non-food contact surfaces of equipment and all food storage utensils shall be thoroughly cleaned and sanitized daily. 
CLEAN ALL MOUTHPIECES ON WATER FOUNTAINS. CLEAN ALL CUBBIES AND SHELVES IN BASEMENT STORAGE AREAS. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: The floors shall be constructed per code, be smooth and easily cleaned, and be kept clean and in good repair. 
FLOORS NEED CLEANING UNDER ALL EQUIPMENT ALONG WALLS AND IN ALL CORNERS IN JANITOR STORAGE AREAS, ENGINEER OFFICE, LIBRARY STORAGE AREAS, ART SUPPLY STORAGE, CLOSETS, LUNCHROOM, PRE-K STORAGE AREAS, ETC.  ELEVATE ALL STOCK OFF FLOOR IN LIBRARY STORAGE AREAS. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: The walls and ceilings shall be in good repair and easily cleaned. 
STORE STOCK AND EQUIPMENT AWAY FROM WALLS IN STORAGE AREAS FOR EASY CLEANING AND PEST CONTROL.  SEAL OPENINGS AROUND ALL PIPE FITTINGS BEHIND POP MACHINE, IN PRE-K DINING AREA, STORAGE AREAS, UNDER SINKS, ETC. REMOVE DEBRIS, BOOKS, BEHIND SHELVES IN LIBRARY. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: All parts of the food establishment and all parts of the property used in connection with the operation of the establishment shall be kept neat and clean and should not produce any offensive odors. 
INSTRUCTED MANAGER TO REMOVE ALL UNUSED EQUIPMENT AND UNNECESSARY ARTICLES IN LIBRARY STORAGE, ENGINEER OFFICE AND STORAGE CLOSETS TO PREVENT PEST HARBORAGE. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: REPAIR RIGHT SINK IN GIRLS 3RD FLOOR WASHROOM (NO HOT WATER).",41.78430546,-87.66205637,"(41.7843054609764, -87.66205636620833)"
1497387,ACE Tech,ACE TECH,66291,School,Risk 1 (High),5410 S State St. (1E&W) ,CHICAGO,IL,60609,9/25/14,Canvass,Fail,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: OBSERVED NO PEST CONTROL LOG BOOK FOR REVIEW AT THIS TIME. ENGINEER NOT HERE AND HE HAS THE BOOK. INSTRUCTED MANAGER TO GET COPY OF PEST CONTROL LOG BOOK. MUST HAVE FOR REVIEW WHEN CDPH COMES IN. SERIOUS VIOLATION 7-38-020. | 29. PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090 - Comments: OBSERVED THE FOLLOWING NOT CORRECTED (#35) CEILING PEELING PAINT IN LUNCHROOM/GYM, REPLACEFILTER AT REAR SOUTH KITCHEN VENT AND CLEAN WALL CEILING  AROUND SOUTH FAN.(#36) CLEAN LIGHT SHIELDS IN TEACHERS LOUNGE. (#38) REPAIR LEAKING COLD WATER NOZZLE IN EMPLOYEES RESTROOM OFF KITCHEN FROM REPORT #1151740 DATE 10/23/2013 WAS TO BE CORRECTED BY 1/23/2014. SERIOUS VIOLATION 7-42-090. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OBSERVED HALLWAY LIGHT SHIELDS OUTSIDE LUNCH ROOM, TEACHERS LOUNGE, INSTRUCTED TO CLEAN. ALSO OBSERVED WATER DAMAGED CEILING TILES THRU OUT THIS HALLWAY, INSTRUCTED TO REPAIR. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: OBSERVED CLUTTER, NEED TO CLEAN, OUTSIDE PARKING LOT NORTH SIDE. ALSO CUT GRASS/WEEDS.",41.79609702,-87.62588513,"(41.79609701777343, -87.62588512809542)"
